ID,mol
1,CC1=CC(=O)C=CC1=O
a1,CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4OC(C)=O)=CC=C5OC(C)=O
2,S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=CC=CC=C2S1
3,OC1=C(Cl)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O
4,[O-][N+](=O)C1=CNC(=N)S1
5,NC1=CC2=C(C=C1)C(=O)C1=C(C=CC=C1)C2=O
6,OC(=O)C1=C(C=CC=C1)C1=C2C=CC(=O)C(Br)=C2OC2=C1C=CC(O)=C2Br
7,CN(C)C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
8,CC1=C(C2=C(C=C1)C(=O)C1=CC=CC=C1C2=O)[N+]([O-])=O
9,CC(=NO)C(C)=NO
10,C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
11,CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
12,CC1=NN(C(=O)C1)C1=CC=CC=C1
13,NC1=CC=NC2=C1C=CC(Cl)=C2
14,CCCCCCC1CCCCN1
15,O=CC1=C2C=CC=CC2=CC2=C1C=CC=C2
16,BrN1C(=O)CCC1=O
a2,COC1=CC=C2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5OC1=C2[C@]45CCN3C
17,CCCCCCCCCCCCCCCC1=C(N)C=CC(O)=C1
18,C(COC1=C(C=CC=C1)C1=CC=CC=C1)OC1=CC=CC=C1C1=CC=CC=C1
19,CCCCSCC
a3,CC(C)=O
20,CC(=O)NC1=NC2=C(C=C1)C(O)=CC=N2
21,CC1=C2C=CC(N)=NC2=NC(O)=C1
22,CCOC(=O)C1=CN=C2N=C(N)C=CC2=C1O
23,CC1=CC(N=CC2=CC=CC=C2)=NC=C1
24,C[N+](C)(C)CC1=CC=CC=C1
25,C[N+](C)(C)C(=O)C1=CC=CC=C1
26,ICCC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
27,CC1=CC(C)=C(C[N+](C)(C)C)C(C)=C1
28,CC(O)(CC(O)=O)C1=CC=C(C=C1)[N+]([O-])=O
29,CC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
a4,CN[C@@H](C)CC1=CC=CC=C1
30,ON=CC1=CC=C(O)C=C1
31,CC1=CC(C)=C(N)C(C)=C1
32,CC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[N+]([O-])=O
33,CC(O)(C1=CC=CC=C1)C1=CC=CC=C1
34,ON=CC1=CC(=CC=C1)[N+]([O-])=O
35,OC1=C2C=CC(Cl)=CC2=NC=C1[N+]([O-])=O
36,CC1=CN=C2C=CC=C(C)C2=C1Cl
a5,CC(N)CC1=CC=CC=C1
37,CCC(CC)(C(OC(N)=O)C1=CC=CC=C1)C1=CC=CC=C1
38,ON=C(CC1=CC=CC=C1)C(C#N)C1=CC=CC=C1
39,OC(CC1=CC=CC=C1)C1=CC=CC=C1
40,COC1=CC=C(CC2=CC=C(OC)C=C2)C=C1
41,CN(C)C(C1=CC=CC=C1)C1=C(C)C=CC=C1
42,COC1=CC(=C(N)C(=C1)[N+]([O-])=O)[N+]([O-])=O
43,NN=C(C1=CC=CC=C1)C1=CC=CC=C1
44,COC1=CC=C(C=NO)C=C1
45,C1=CC=C(C=C1)C(N=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
46,C1=CC=C(C=C1)N=C(C1=CC=CC=C1)C1=CC=CC=C1
47,CC1=C(C2=CC=CC=C2)C(O)=C2C=CC=CC2=N1
48,CCC1=[O+][Cu]2([O+]=C(CC)C1)[O+]=C(CC)CC(CC)=[O+]2
49,OC(=O)C(CC1=CC=CC=C1)C1=CC=CC=C1
50,CCC1=C(N)C=C(C)N=C1
a6,CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
51,CC1=C(C2=CC=CC=C2)C(OC2=CC=CC=C2)=C2C=CC=CC2=N1
52,N#CC(C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
53,CC(C#N)N(C)C
54,CC(=O)C1CC2=C(C=CC=C2)C1=O
55,O=S(CC1=CC=CC=C1)CC1=CC=CC=C1
56,CC(C1=CC=CC=C1)C(C)(C#N)C1=CC=CC=C1
57,CC1=C2CCCCC2=NC(O)=N1
58,N(C(C1=CC=CC=C1)C1=CC=CC=C1)C(C1=CC=CC=C1)C1=CC=CC=C1
59,OC1=C2C=CC=CC2=C(N=N1)C1=CC=CC=C1
60,CC(C)(C(N)=O)C1=CC=CC=C1
a8,CC(NC(=O)c1cn(C)c2ccncc12)c1ccc(OCc2ccncc2)cc1
61,OC(=O)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
62,CCC[N+](CCC)(CCC)CC1=CC=CC=C1
63,CC1=CC(C)=C(CC(=O)C2=CC=CC=C2)C(C)=C1
64,COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
65,CCC(CC)(CC)C(OC(=O)C1=C(C=CC=C1)C(O)=O)C1=CC=CC=C1
66,CC(=O)C(CC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
67,O=S(=O)(CC1=CC=CC=C1)CC1=CC=CC=C1
68,CC(C)(C)OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
69,N#CC(CC1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
70,CC(=CC1=CC=CC=C1)C1=CC=CC=C1
a9,Cc1cn(CC(NC(=O)C2(CC2)c2ccccn2)c2ccc(Cl)cc2)cn1
71,N#CC(CC1=CC=CC=C1)C1=CC=CC=C1
72,CC(O)(C(C(O)=O)C1=CC=CC=C1)C1=CC=CC=C1
73,CC(C(C(O)=O)C1=CC=CC=C1)C1=CC=CC=C1
74,ON=CC1=CC=C(Cl)C=C1
75,COC(C1=CC=CC=C1)C1=CC=CC=C1
76,O=C(NC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
77,C[N+](C)(CC1=CC=CC=C1)CC1=CC=CC=C1
78,C1C(C=CC2=CC=CC=C2)=[O+][Cu]2([O+]=C(CC(=[O+]2)C2=CC=CC=C2)C=CC2=CC=CC=C2)[O+]=C1C1=CC=CC=C1
79,ON=CC1=CC2=C(OCO2)C=C1
80,CCOC(=O)C(NC(=O)C1=CC=CC=C1)C(=O)OCC
a10,CC(C)(C)Cn1c(CN2CCOCC2)cc2c(nc(cc12)C#N)N1CCOCC1
81,NC1=CC=C(Cl)N=C1
82,C1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
83,CCOC(=O)C1=C(O)C2=CC=C(Cl)C(C)=C2N=C1
84,CCN(CC)C(=O)C=CC1=CC=CC=C1
85,C[N+](C)(C)CC1=CC=C(C=C1)[N+]([O-])=O
86,C[N+](C)(C)CC1=CC=CC(=C1)[N+]([O-])=O
87,O=C(CC(N1CCCCC1)C1=CC=CC=C1)C1=CC=CC=C1
88,COC(N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
89,CN(C)CCC(=O)C1=CC=CC=C1
90,CCCCN(CCCC)C(C)=O
91,CC1=C(CO)C=CC=C1
92,CCN(CC)CCC(=O)OC
93,ClC(CC1=CC=CC=C1)C1=CC=CC=C1
94,CC(C)CC(=O)CC(C)=O
95,CCN(CC)CCC#N
96,COC1=CC=C(CC#N)C=C1
97,CN(CC1=CC=CC=C1)C1=CC=CC=C1
98,COC1=CC=C(C=C1)C(C)(C)C#N
99,CCC(CC)(C(O)C1=CC=CC=C1)C1=CC=CC=C1
a11,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
100,CC(OC(=O)C1=CC=CC=C1)=CC1=CC=CC=C1
